Rk,School,Conf,,AP Rank,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
1,Houston,Big 12,,1,30,4,73,57,16.06,,10.3,,5.95,20.41,26.36,120.52,81.18,39.34
2,Arizona,Pac-12,,5,25,8,87.9,72.2,15.7,,9.65,,19.52,5.83,25.35,123.35,89.4,33.95
3,Purdue,Big Ten,,3,29,4,83.4,70.2,13.24,,11.54,,15.59,9.19,24.78,126.86,92,34.86
4,Connecticut,Big East,,2,31,3,81.5,64.4,17.06,,7.66,,11.94,12.77,24.72,127.02,91.53,35.49
5,Iowa State,Big 12,,6,27,7,75.6,61.3,14.26,,8.76,,7.95,15.07,23.02,117.13,84.11,33.02
6,Auburn,SEC,,13,26,7,83.2,68.1,15.18,,7.82,,13.89,9.11,23,122.18,89.91,32.27
7,Tennessee,SEC,,4,24,8,79.5,67.9,11.59,,10.2,,10.29,11.51,21.8,118.14,87.59,30.55
8,Alabama,SEC,,16,21,11,90.8,81.1,9.69,,11.43,,22.15,-1.03,21.12,127.13,97.66,29.47
9,North Carolina,ACC,,7,27,7,81.5,70.2,11.24,,9.76,,13.25,7.74,21,119.2,89.79,29.41
10,Brigham Young,Big 12,,20,23,10,81.8,69.9,11.94,,8.42,,13.65,6.72,20.36,122.32,93.53,28.79
11,Duke,ACC,,9,24,8,79.8,67.4,12.41,,7.84,,11.1,9.14,20.24,123.3,93.68,29.62
12,Baylor,Big 12,,11,23,10,80.5,71.2,9.33,,11.41,,13.24,6.98,20.22,125.7,96.46,29.24
13,Creighton,Big East,,10,23,9,80.5,69.7,10.81,,9.22,,12.19,7.84,20.03,122.73,93.89,28.84
14,Illinois,Big Ten,,12,25,8,84.2,73.4,10.76,,9.03,,16.45,3.34,19.79,124.24,96.69,27.56
15,Marquette,Big East,,8,25,9,78.3,69.7,8.59,,10.99,,11.5,8.08,19.58,120.1,92.67,27.43
